# Extended pattern definitions - quantifiers and alternation
# Format: name|priority|category|regex|test_input1;test_input2;...
ext_star_a|1|extended|a*|aaa;bbb;aab
ext_plus_b|1|extended|b+|bbb;abc;bb
ext_optional_c|2|extended|ca?t|cat;ct;cart
ext_star_dot|2|extended|a.*b|aXb;ab;aXXXXb
ext_plus_word|3|extended|\w+|hello;!!!;test123
ext_digit_plus|3|extended|\d+|12345;abc;9
ext_alt_animal|4|extended|cat|dog|cat;dog;bird
ext_alt_color|4|extended|red|blue|red paint;blue sky;green
ext_greedy_long|5|extended|x.*y|xAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAy_BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB_y;xy;xZZy
ext_greedy_deep|5|extended|a.*z|aBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBz_CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC_z;az;a_to_z_path
ext_word_bound|6|extended|\w+\s\w+|hello world;foo bar;nospace
ext_multi_digit|6|extended|\d\d\d|123;45;6789
ext_class_quant|7|extended|[abc]+|aabbcc;xyz;abcabc
ext_range_quant|7|extended|[0-9]+|12345;abcde;007
ext_nested_grp|8|extended|(ab)+|ababab;ab;cd
ext_alt_grp|8|extended|(cat|dog)s|cats;dogs;birds
ext_complex_a|9|extended|[a-z]+\d+|abc123;hello1;UPPER1
ext_complex_b|9|extended|\d+[a-z]+|123abc;1a;999ZZZ
ext_backtrack_a|10|extended|a.*a.*a|aXXXXXXXXXXXXXXXXXXXXaYYYYYYYYYYYYYYYYYYYYaZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ;aaa;abacaba
ext_backtrack_b|10|extended|.+x.+x.+|DDDDDDDDDDDDDDDDDDDDxEEEEEEEEEEEEEEEEEEEExFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF;xxxxx;1x2x3
