pass_id,module_name,category,priority,depends_on,estimated_cost_ms,submitted_order
pass-B01,backend_codegen,transform,8,,48,1
pass-B02,backend_regalloc,analysis,7,pass-B01,36,2
pass-B03,backend_scheduler,transform,7,pass-B01,42,3
pass-B04,backend_codegen,lowering,6,pass-B02,53,4
pass-B05,backend_regalloc,transform,5,pass-B02,31,5
pass-B06,backend_scheduler,analysis,5,pass-B03,29,6
pass-B07,backend_codegen,cleanup,4,pass-B04,24,7
pass-B08,backend_regalloc,lowering,4,pass-B05,40,8
pass-B09,backend_scheduler,transform,6,pass-B03,45,9
pass-B10,backend_codegen,transform,3,pass-B04,33,10
pass-B11,backend_regalloc,analysis,3,pass-B05,25,11
pass-B12,backend_scheduler,lowering,3,pass-B06,38,12
pass-B13,backend_codegen,cleanup,2,pass-B07,20,13
pass-B14,backend_regalloc,transform,4,pass-B08,36,14
pass-B15,backend_scheduler,analysis,4,pass-B09,27,15
pass-B16,backend_codegen,transform,5,pass-B02,43,16
pass-B17,backend_regalloc,cleanup,2,pass-B11,16,17
pass-B18,backend_scheduler,transform,3,pass-B12,32,18
