pass_id,module_name,category,priority,depends_on,estimated_cost_ms,submitted_order
pass-F01,frontend_parser,transform,8,,45,1
pass-F02,frontend_parser,analysis,7,pass-F01,32,2
pass-F03,frontend_lexer,transform,6,pass-F01,28,3
pass-F04,frontend_sema,analysis,7,pass-F02,51,4
pass-F05,frontend_lexer,lowering,5,pass-F03,39,5
pass-F06,frontend_parser,cleanup,4,pass-F02,22,6
pass-F07,frontend_sema,transform,6,pass-F04,47,7
pass-F08,frontend_lexer,analysis,5,pass-F03,31,8
pass-F09,frontend_parser,lowering,3,pass-F05,44,9
pass-F10,frontend_sema,transform,5,pass-F04,36,10
pass-F11,frontend_lexer,cleanup,4,pass-F08,19,11
pass-F12,frontend_parser,transform,5,pass-F06,41,5
pass-F13,frontend_sema,analysis,3,pass-F07,29,13
pass-F14,frontend_lexer,lowering,4,pass-F09,37,14
pass-F15,frontend_parser,transform,6,pass-F01,43,15
pass-F16,frontend_sema,cleanup,2,pass-F13,18,16
pass-F17,frontend_lexer,analysis,3,pass-F11,26,17
pass-F18,frontend_parser,transform,4,pass-F06,35,18
