pass_id,module_name,category,priority,depends_on,estimated_cost_ms,submitted_order
pass-M01,middle_optimizer,transform,9,,52,1
pass-M02,auto_inliner,analysis,8,pass-M01,41,2
pass-M03,middle_dce,transform,7,pass-M01,38,3
pass-M04,middle_optimizer,lowering,6,pass-M02,49,4
pass-M05,auto_inliner,transform,6,pass-M02,33,5
pass-M06,middle_dce,analysis,5,pass-M03,27,6
pass-M07,middle_optimizer,cleanup,5,pass-M04,23,7
pass-M08,auto_inliner,transform,5,pass-M05,46,5
pass-M09,middle_dce,lowering,4,pass-M06,42,9
pass-M10,middle_optimizer,transform,4,pass-M04,37,10
pass-M11,auto_inliner,analysis,3,pass-M05,30,11
pass-M12,middle_dce,transform,7,pass-M03,44,12
pass-M13,middle_optimizer,lowering,3,pass-M07,35,13
pass-M14,auto_inliner,cleanup,2,pass-M11,21,14
pass-M15,middle_dce,analysis,4,pass-M09,28,15
pass-M16,middle_optimizer,transform,6,pass-M02,50,16
pass-M17,auto_inliner,lowering,3,pass-M11,34,17
pass-M18,middle_dce,cleanup,2,pass-M15,17,18
pass-M19,middle_optimizer,analysis,5,pass-M04,39,19
