timestamp,zone_id,sensor_id,reading_type,value,quality
1700000015,zone_beta,sens-E01,temperature,19.5,0.94
1700000030,zone_gamma,sens-E02,humidity,60.0,0.89
1700000048,zone_alpha,sens-E03,temperature,22.1,0.91
1700000065,zone_beta,sens-E01,pressure,1013.0,0.93
1700000080,zone_gamma,sens-E02,temperature,24.5,0.90
1700000095,zone_delta,sens-E04,pressure,1012.2,0.88
1700000110,zone_alpha,sens-E03,humidity,60.5,0.92
1700000125,zone_beta,sens-E01,temperature,18.9,0.95
1700000140,zone_gamma,sens-E02,pressure,1013.8,0.87
1700000145,zone_beta,sens-R01,temperature,19.1,0.94
1700000170,zone_beta,sens-E01,humidity,56.8,0.91
1700000185,zone_delta,sens-E04,temperature,20.8,0.94
1700000200,zone_gamma,sens-E02,humidity,58.0,0.86
1700000215,zone_alpha,sens-E03,pressure,1014.2,0.97
1700000230,zone_beta,sens-E01,temperature,19.7,0.92
1700000245,zone_delta,sens-E04,humidity,54.8,0.90
1700000260,zone_gamma,sens-E02,temperature,25.3,0.95
1700000275,zone_alpha,sens-E03,temperature,23.5,0.91
