timestamp,zone_id,sensor_id,reading_type,value,quality
1700000010,zone_alpha,sens-N01,temperature,22.5,0.95
1700000025,zone_alpha,sens-N02,humidity,61.2,0.88
1700000040,zone_beta,sens-N03,temperature,19.8,0.92
1700000055,zone_alpha,sens-N01,pressure,1013.2,0.97
1700000070,zone_beta,sens-N04,humidity,55.0,0.85
1700000085,zone_gamma,sens-N05,temperature,24.1,0.91
1700000100,zone_alpha,sens-N02,temperature,23.0,0.94
1700000115,zone_beta,sens-N03,pressure,1012.5,0.89
1700000130,zone_gamma,sens-N05,humidity,58.7,0.93
1700000145,zone_delta,sens-N06,temperature,20.2,0.90
1700000160,zone_alpha,sens-N01,humidity,62.8,0.87
1700000175,zone_beta,sens-N04,temperature,18.5,0.96
1700000190,zone_gamma,sens-N05,pressure,1014.0,0.88
1700000205,zone_delta,sens-N06,humidity,54.3,0.92
1700000220,zone_alpha,sens-N02,pressure,1013.8,0.95
1700000235,zone_beta,sens-N03,temperature,20.1,0.91
1700000250,zone_gamma,sens-N05,temperature,25.0,0.94
1700000265,zone_delta,sens-N06,pressure,1011.9,0.86
