timestamp,zone_id,sensor_id,reading_type,value,quality
1700000012,zone_alpha,sens-S01,temperature,22.8,0.93
1700000028,zone_beta,sens-S02,humidity,56.5,0.90
1700000045,zone_gamma,sens-S03,temperature,23.5,0.88
1700000060,zone_alpha,sens-S01,pressure,1012.9,0.96
1700000075,zone_beta,sens-S02,temperature,19.2,0.91
1700000090,zone_delta,sens-S04,humidity,53.8,0.87
1700000105,zone_gamma,sens-S03,humidity,59.1,0.94
1700000120,zone_alpha,sens-S01,temperature,23.3,0.92
1700000135,zone_beta,sens-S02,pressure,1012.0,0.85
1700000145,zone_gamma,sens-S03,temperature,24.8,0.93
1700000165,zone_delta,sens-S04,temperature,20.5,0.89
1700000180,zone_alpha,sens-S01,humidity,63.0,0.91
1700000195,zone_beta,sens-S02,temperature,19.9,0.95
1700000210,zone_gamma,sens-S03,pressure,1013.5,0.87
1700000225,zone_delta,sens-S04,humidity,55.1,0.90
1700000240,zone_alpha,sens-S01,pressure,1014.1,0.96
1700000255,zone_beta,sens-S02,humidity,57.2,0.88
1700000270,zone_delta,sens-S04,temperature,21.0,0.92
